symbol,location,latitude,longitude,in_both
ROK,"Milwaukee, Wisconsin",43.0389025,-87.9064736,TRUE
ROL,"Atlanta, Georgia",33.7489954,-84.3879824,FALSE
ROP,"Sarasota, Florida",27.3364347,-82.5306527,TRUE
ROST,"Pleasanton, California",37.6624312,-121.8746789,TRUE
RCL,"Miami, Florida",25.7616798,-80.1917902,TRUE
CRM,"San Francisco, California",37.7749295,-122.4194155,TRUE
SBAC,"Boca Raton, Florida",26.3683064,-80.1289321,TRUE
SLB,"Curacao, Kingdom of the Netherlands",12.16957,-68.99002,TRUE
STX,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
SEE,"Elmwood Park, New Jersey",40.9039878,-74.118476,TRUE
SRE,"San Diego, California",32.715738,-117.1610838,TRUE
SHW,"Cleveland, Ohio",41.49932,-81.6943605,TRUE
SPG,"Indianapolis, Indiana",39.768403,-86.158068,TRUE
SWKS,"Woburn, Massachusetts",42.4792618,-71.1522765,TRUE
SLG,"New York, New York",36.1023715,-115.1745559,TRUE
SNA,"Kenosha, Wisconsin",42.5847425,-87.8211854,TRUE
SO,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
